Price,Brand_name,5G,RAM,ROM,Front_camera,Processor_name,Back_camera_sum
11999,Others,0,8,128,0,Others,50
13490,REDMI,1,6,64,0,Others,50
23999,Samsung,1,8,128,8,Snapdragon,55
6999,Others,0,8,128,0,Others,13
24999,realme,1,8,256,16,Mediatek,102
6799,Others,0,8,128,0,Others,8
5930,Others,0,3,32,5,Mediatek,13
8990,Others,0,4,64,5,Mediatek,13
12800,vivo,0,6,128,8,Mediatek,52
66999,Apple,0,4,256,12,Bionic,24
36730,Others,0,12,256,0,Others,50
179900,Apple,0,4,1000,12,Bionic,36
14999,POCO,1,6,128,16,Mediatek,58
7999,Others,0,6,128,8,Others,15
36980,Others,0,12,256,0,Others,50
33999,POCO,1,12,256,16,Snapdragon,74
32748,Others,0,8,128,0,Others,50
35499,Samsung,1,8,128,32,Others,67
6868,Others,0,3,64,5,Mediatek,13
7898,Samsung,0,4,128,0,Mediatek,15
7915,Samsung,0,4,128,13,Mediatek,18
13499,Samsung,0,4,128,13,Others,54
7250,Others,0,8,128,0,Others,50
23999,POCO,1,8,256,13,Snapdragon,58
48900,Apple,0,4,128,12,Bionic,24
18999,REDMI,1,8,256,13,Snapdragon,58
8999,Infinix,0,4,64,8,Others,13
6499,Others,0,4,64,0,Others,13
6499,Others,0,4,64,0,Others,13
23290,realme,1,8,128,2,Others,100
109999,Samsung,0,8,512,10,Snapdragon,24
154999,Samsung,0,12,256,0,Snapdragon,72
17999,Others,0,3,32,13,Snapdragon,13
19999,POCO,0,6,128,16,Snapdragon,63
14999,Samsung,0,4,128,8,Others,59
8799,Others,0,8,128,0,Others,50
10000,Others,0,6,64,16,Snapdragon,57
15389,vivo,1,6,128,8,Mediatek,52
14725,Others,1,8,128,16,Mediatek,58
18499,Samsung,1,6,128,8,Snapdragon,60
14999,POCO,1,6,128,8,Mediatek,52
9266,Samsung,0,4,64,0,Others,50
109999,Samsung,1,12,512,12,Others,72
5220,Others,0,3,16,5,Mediatek,13
9825,Others,1,4,64,0,Mediatek,50
13790,REDMI,0,6,64,0,Others,50
5699,Others,0,2,32,0,Others,8
10999,Motorola,0,4,64,16,Mediatek,62
6990,Others,0,3,64,5,Mediatek,13
6399,Others,0,2,64,0,Others,12
86999,Apple,0,4,512,12,Bionic,24
59999,Samsung,0,8,256,10,Others,62
18999,REDMI,1,8,256,13,Snapdragon,58
8450,Samsung,0,4,64,5,Snapdragon,17
24999,Others,1,6,128,16,Mediatek,108
11999,Others,0,8,128,0,Others,50
9825,Others,1,4,64,8,Mediatek,50
10987,Others,0,8,128,32,Mediatek,50
19499,Samsung,1,8,128,13,Mediatek,57
11499,Others,0,4,64,16,Mediatek,57
22999,POCO,1,6,128,16,Snapdragon,118
86999,Apple,0,4,512,12,Bionic,24
10235,Others,1,4,64,0,Others,50
18499,Samsung,1,6,128,8,Snapdragon,60
9999,realme,0,6,64,8,Others,110
19999,Others,0,4,32,5,Others,13
27895,Others,1,8,128,0,Others,64
29999,REDMI,1,8,256,16,Mediatek,74
15998,REDMI,0,6,128,13,Mediatek,76
31999,Samsung,1,8,256,32,Snapdragon,32
12379,REDMI,0,4,64,13,Snapdragon,60
92999,Apple,0,4,256,12,Bionic,60
27999,REDMI,1,8,256,16,Mediatek,210
9199,Others,0,8,128,0,Others,50
7775,realme,0,4,64,5,Others,8
14999,REDMI,1,4,64,8,Mediatek,52
12995,Others,1,8,128,0,Others,50
23999,realme,1,8,128,16,Snapdragon,74
23999,realme,1,8,128,16,Snapdragon,74
23990,Samsung,1,8,128,0,Others,32
13240,Others,1,8,128,0,Others,50
29999,REDMI,1,12,256,16,Others,210
11999,Motorola,0,4,64,13,Mediatek,60
34999,Motorola,0,8,128,32,Snapdragon,65
30999,Samsung,0,8,128,32,Others,86
13769,OnePlus,0,4,64,0,Others,50
137990,Apple,0,4,256,12,Bionic,72
23999,realme,1,8,128,16,Mediatek,102
5919,Others,0,3,64,8,Mediatek,21
29799,Others,1,8,128,0,Others,64
179900,Apple,0,4,1000,12,Bionic,36
9999,Infinix,0,6,64,8,Others,50
16835,REDMI,1,8,128,0,Others,50
38990,vivo,1,12,256,50,Mediatek,60
37999,OPPO,1,12,256,32,Snapdragon,90
16999,REDMI,1,6,128,13,Snapdragon,58
13999,Others,0,2,16,5,Others,13
10499,Samsung,0,4,64,8,Others,57
21999,Samsung,1,6,128,8,Snapdragon,55
10999,Infinix,0,8,128,8,Others,50
10999,Infinix,0,8,128,8,Others,50
54999,OPPO,1,12,256,32,Snapdragon,122
14499,vivo,0,4,128,16,Snapdragon,54
7499,REDMI,0,3,32,0,Others,13
